Name,IP,ERA-
Kyle Nelson,2,212
Adam Ottavino,1.2,0
Isiah Kiner-Falefa,0.2,0
Nicky Lopez,0.1,0
César Salazar,1,0
Jacob Amaya,1,0
Jayvien Sandridge,0.2,667
Michael Stefanic,1,0
Logan Davidson,1,0
Garrett Acton,1,0
Kevin Newman,4,163
Ty Adcock,3,74
Ali Sánchez,1,442
Anthony Seigler,1,0
Alex Carrillo,4.2,332
Willi Castro,1,0
Andrew Walters,1.1,333
Austin Nola,1,1504
Luis Torrens,0.2,1327
Paul Sewald,19.2,113
Darren McCaughan,5.1,41
Randy Wynne,3,68
Paul Gervase,8.1,104
Seth Martinez,6.2,127
Luke Maile,1,0
Kody Clemens,1,436
J.P. France,4,55
John Rooney,1.1,166
Zach Thompson,3.2,0
Dedniel Núñez,9.2,114
Elvin Rodríguez,19.2,220
Wander Suero,6.1,269
Nick Hernandez,10.2,124
José Caballero,1,1307
Jon Gray,14,191
Michael Fulmer,5.2,112
Erik Swanson,5.1,373
Jose Trevino,2.1,87
Philip Abner,3.2,116
Cody Poteet,2.2,418
Matt Strahm,62.1,64
Josh Hader,52.2,50
Gary Sánchez,1,892
Tomás Nido,1.2,0
Jose Espada,3,0
Joey Estes,11,233
Kenley Jansen,59,63
Jared Triolo,1,0
Mason Black,4,164
Korey Lee,3,73
Blas Castaño,3,235
Emilio Pagán,68.2,65
Isaac Mattson,47.2,57
Jake Bauers,5,86
Luis Garcia,7.2,86
Luis Contreras,12,166
Kyle Hart,43,145
AJ Blubaugh,32,41
Cam Booser,31,134
Anthony Misiewicz,4.2,234
Vinny Capra,3,146
Jose Corniell,1.2,401
Luke Williams,6,71
Steven Okert,71.2,74
Luke Weaver,64.2,89
Jackson Kowar,17,111
Shota Imanaga,144.2,90
Logan Henderson,25.1,43
Luis Curvelo,19,141
Alex Vesia,59.2,72
José Fermin,34.1,108
Jesse Chavez,8,213
Carlos Rodriguez,9.2,156
Tyler Wells,21.2,72
Alan Rangel,11,57
Ezequiel Duran,3.1,0
Joey Gerber,4.1,50
Robert Gasser,5.2,76
Max Scherzer,85,127
Steven Wilson,55.1,83
Scott McGough,16,160
Connor Seabold,10.1,103
Cam Sanders,6.2,189
Roansy Contreras,12.2,119
Jonah Bride,6,363
Joe La Sorsa,6.2,245
Cristian Javier,37,113
Scott Kingery,2,869
Eury Pérez,95.1,100
Jeremiah Estrada,73,85
Valente Bellozo,81.1,109
Héctor Neris,26.2,163
Ben Lively,44.2,80
Andrew Hoffmann,12,141
Brandon Woodruff,64.2,77
Raisel Iglesias,67.1,76
Craig Kimbrel,12,55
Jake Eder,18.1,118
Nestor Cortes,34.1,154
Connor Brogdon,47,134
Carlos Estévez,66,58
Bailey Ober,146.1,124
Ben Bowden,10.2,100
Jared Young,0.1,0
Vidal Bruján,2,319
Lucas Gilbreath,1,188
Konnor Pilkington,28.1,106
Omar Cruz,3.2,121
Jack Little,3,143
Connor Phillips,25,65
Zach Brzykcy,23,214
Luke Little,2.2,82
Javier Sanoja,9.1,384
Andre Granillo,21,114
Christian Montes De Oca,2.2,0
Carson Spiers,13.1,138
Jacob Webb,66,74
Osvaldo Bido,79.2,139
Yaramil Hiraldo,19.2,113
Kirby Yates,41.1,125
JP Sears,135.2,121
Yuki Matsui,63.1,98
Tyler Anderson,136.1,110
Jacob Lopez,92.2,97
Alexis Díaz,17.2,189
Johan Oviedo,40.1,83
Kevin Herget,13,68
John Brebbia,23.1,187
Hunter Greene,107.2,62
Eric Lauer,104.2,78
Joel Payamps,26.1,164
Carson Palmquist,34.1,186
Troy Taylor,6.2,317
Ryan Burr,2,0
Matt Krook,3.1,128
Alex Lange,1,0
Miles Mastrobuoni,1,0
Jhonathan Díaz,1.1,0
Michel Otañez,5.1,321
Carlos Duran,0.1,1923
Ryan Fitzgerald,2,0
Will Wilson,2,222
Marc Church,4.2,95
Carson Ragsdale,5,357
Drew Sommers,3,438
Simeon Woods Richardson,111.1,98
Tyler Gilbert,51,95
Doug Nikhazy,4,333
Blake Treinen,26.2,129
Ryne Stanek,56,130
Brock Stewart,37.2,64
Jordan Leasure,64.1,95
Davis Daniel,10,128
Cole Henry,52.2,102
Chad Green,43.2,137
Ronel Blanco,48.1,101
Colin Poche,9.1,300
Orlando Ribalta,24.1,167
Austin Gomber,57.2,157
Nick Pivetta,181.2,71
Andrew Abbott,166.1,65
Nick Mears,56.2,84
Jorge Alcala,55,150
Austin Warren,9.1,24
Rob Zastryzny,22,59
Nate Pearson,14.2,223
Joe Ryan,171,83
Mitch Farris,24.1,161
Tyler Kinley,72.2,83
Lou Trivino,47.2,95
Justin Sterner,65,76
Albert Suárez,11.2,57
Chase Shugart,45,79
Bryce Jarvis,22,135
Kaleb Ort,46,120
Ryan Bergert,76.1,88
Brent Headrick,23,77
Victor Mederos,17,179
Robbie Ray,182.1,89
Jon Berti,3.2,178
Ethan Roberts,9,145
Patrick Monteverde,3.2,230
Clarke Schmidt,78.2,82
